timestamp,remote_addr,server_ip,request_type,location,protocol,response_code,body_bytes_sent,referrer,user_agent
24/Jan/2025:20:05:38 +0000,10.151.73.64,3.228.74.231,GET,/Inter-SemiBold.woff2?v=3.18,HTTP/1.1,404,2823,https://basespace.illumina.com/runs/planned,"upstream_response_time: 0.037 request_time 0.038 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15 155.52.40.110"
24/Jan/2025:20:05:38 +0000,10.151.73.64,3.228.74.231,GET,/Inter-Medium.woff?v=3.18,HTTP/1.1,404,2823,https://basespace.illumina.com/runs/planned,"upstream_response_time: 0.042 request_time 0.042 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15 155.52.40.110"
24/Jan/2025:20:06:55 +0000,10.151.72.100,54.85.84.212,GET,/Inter-Medium.woff2?v=3.18,HTTP/1.1,404,2820,https://basespace.illumina.com/runs/active,"upstream_response_time: 0.056 request_time 0.058 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15 82.76.234.41"
24/Jan/2025:20:06:55 +0000,10.151.72.100,18.235.197.226,GET,/Inter-Bold.woff?v=3.18,HTTP/1.1,404,2820,https://basespace.illumina.com/runs/active,"upstream_response_time: 0.040 request_time 0.040 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15 82.76.234.41"
24/Jan/2025:20:07:02 +0000,10.151.72.100,18.235.197.226,GET,/Inter-SemiBold.woff2?v=3.18,HTTP/1.1,404,2820,https://basespace.illumina.com/runs/active,"upstream_response_time: 0.043 request_time 0.044 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15 82.76.234.41"
24/Jan/2025:20:07:02 +0000,10.151.72.100,18.235.197.226,GET,/Inter-Regular.woff?v=3.18,HTTP/1.1,404,2820,https://basespace.illumina.com/run/289685521/details,"upstream_response_time: 0.043 request_time 0.043 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15 82.76.234.41"
24/Jan/2025:20:07:02 +0000,10.151.72.100,54.85.84.212,GET,/Inter-Light.woff?v=3.18,HTTP/1.1,404,2820,https://basespace.illumina.com/run/289685521/details,"upstream_response_time: 0.039 request_time 0.039 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15 82.76.234.41"
24/Jan/2025:20:08:58 +0000,10.151.73.64,3.228.74.231,GET,/Inter-Regular.woff2?v=3.18,HTTP/1.1,404,2816,https://basespace.illumina.com/analyses,"upstream_response_time: 0.065 request_time 0.065 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15 71.104.10.118"
24/Jan/2025:20:08:58 +0000,10.151.73.64,18.235.197.226,GET,/Inter-Bold.woff2?v=3.18,HTTP/1.1,404,2816,https://basespace.illumina.com/analyses,"upstream_response_time: 0.071 request_time 0.070 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15 71.104.10.118"
24/Jan/2025:20:09:54 +0000,10.151.72.226,3.228.74.231,GET,/Inter-Regular.woff2?v=3.18,HTTP/1.1,404,2829,https://basespace.illumina.com/run/289653436/PCH_01212025/details,"upstream_response_time: 0.151 request_time 0.151 Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1 170.250.51.224"
